사자, 50, 188
차마, 77, 143
카사, 68, 172
타가, 98, 151
파나, 52, 161
라아, 75, 186
하파, 84, 142
다자, 65, 157
마하, 58, 185
자나, 41, 181
자사, 62, 197
카하, 48, 180
가아, 42, 198
마아, 93, 176
마라, 74, 140
다파, 79, 185
카나, 85, 149
타파, 70, 189
라차, 81, 140
나가, 82, 191
가라, 98, 158
마마, 42, 178
가아, 43, 142
라나, 82, 182
나라, 71, 186
카카, 65, 192
가가, 57, 193
바자, 85, 151
마라, 60, 168
타라, 56, 174
나라, 68, 155
카자, 79, 197
마다, 76, 155
바파, 78, 182
카하, 97, 170
파카, 83, 147
바차, 91, 145
마파, 89, 154
가가, 98, 183
나바, 93, 143
차바, 93, 168
바파, 45, 188
바하, 82, 143
마차, 47, 168
다아, 64, 164
마아, 48, 148
타사, 88, 147
다하, 99, 152
가가, 82, 157
카나, 44, 195
차카, 71, 163
마아, 51, 154
차차, 70, 166
바라, 93, 199
가바, 75, 188
바마, 98, 177
자바, 44, 174
사아, 96, 194
사카, 90, 143
하라, 61, 149
파파, 56, 194
하차, 58, 164
나나, 95, 162
하아, 98, 180
다차, 80, 198
마파, 56, 146
다나, 71, 197
라아, 83, 163
차차, 74, 171
바차, 65, 197
파라, 74, 171
마타, 77, 157
마타, 92, 156
마나, 77, 184
나자, 44, 156
나자, 98, 187
나라, 85, 183
마자, 49, 186
사카, 84, 189
나차, 96, 174
카파, 79, 156
타파, 90, 169
가나, 75, 168
나자, 85, 149
나라, 69, 169
다나, 71, 141
하카, 86, 171
파파, 59, 140
라하, 73, 169
타라, 93, 182
파나, 52, 188
카아, 67, 152
사하, 84, 159
타타, 54, 197
타자, 85, 176
자하, 88, 178
바다, 51, 170
하하, 40, 177
라바, 64, 194
자아, 55, 195
자가, 84, 171
다마, 54, 149
라파, 50, 150
나하, 73, 144
가파, 67, 150
카하, 57, 177
마카, 43, 169
다가, 59, 172
카다, 59, 143
사자, 48, 199
가하, 74, 198
카하, 97, 180
바다, 83, 169
타사, 88, 190
하라, 86, 151
타카, 56, 183
타자, 46, 177
다마, 43, 169
가가, 47, 195
마사, 77, 173
자아, 98, 140
마자, 54, 194
파바, 71, 182
가가, 56, 168
마나, 44, 152
나타, 98, 196
마카, 56, 173
사마, 63, 161
바가, 66, 149
바라, 48, 190
차가, 82, 144
카카, 83, 182
아하, 74, 145
라마, 51, 158
하라, 98, 184
아아, 90, 171
카카, 75, 175
가아, 66, 183
하자, 60, 172
바자, 64, 183
타차, 79, 148
사자, 92, 146
카자, 89, 196
사카, 90, 159
바나, 77, 161
마나, 44, 183
아다, 90, 186
마나, 72, 179
하바, 75, 159
차사, 77, 180
가바, 50, 171
카아, 56, 179
마타, 83, 181
바바, 92, 174
다차, 58, 157
아하, 47, 149
라자, 94, 192
타카, 92, 187
아사, 70, 140
아나, 96, 188
파파, 86, 168
하바, 96, 147
나바, 77, 177
하아, 46, 155
가다, 88, 150
사바, 82, 149
나라, 47, 149
사나, 62, 175
타라, 65, 144
가카, 49, 180
아하, 51, 196
바사, 60, 190
자자, 75, 191
자카, 79, 168
바다, 95, 171
나카, 91, 186
바아, 92, 189
카파, 80, 181
나마, 76, 197
자아, 54, 172
아아, 78, 183
바차, 56, 155
다타, 59, 186
사차, 63, 149
나하, 55, 158
나타, 42, 143
라바, 77, 192
나파, 93, 173
사타, 49, 198
카바, 44, 155
라다, 55, 181
나가, 73, 192
가타, 60, 182
다마, 90, 175
아차, 89, 185
사가, 79, 149
아라, 52, 151
자라, 77, 193
차타, 62, 166
아사, 84, 140
자파, 66, 185
하마, 61, 168
사자, 92, 158
파나, 43, 163
나파, 99, 145
자사, 70, 142
아카, 88, 171
파타, 89, 156
아타, 88, 198
아가, 95, 148
나차, 85, 140
다차, 54, 144
사바, 96, 166
아하, 50, 171
가바, 44, 148
사라, 42, 189
파자, 80, 179
자파, 76, 193
자파, 63, 172
타타, 74, 171
카하, 41, 193
자하, 72, 150
가타, 53, 170
가하, 61, 172
차사, 70, 165
아카, 50, 145
마가, 46, 140
가라, 86, 183
하나, 98, 180
가타, 79, 152
카사, 91, 167
사마, 67, 176
가나, 92, 184
카하, 86, 174
사아, 82, 187
자카, 72, 162
하나, 64, 172
사파, 63, 173
다바, 84, 170
마타, 67, 180
바가, 87, 184
가바, 66, 155
마파, 68, 152
파가, 59, 147
다카, 88, 183
하아, 66, 151
사자, 82, 145
나다, 48, 174
카나, 63, 153
차마, 96, 145
차마, 79, 175
파차, 99, 142
자사, 94, 165
자사, 70, 141
마카, 56, 141
다파, 84, 144
하자, 42, 155
파가, 57, 167
자나, 59, 193
카아, 88, 154
카라, 46, 195
파가, 70, 179
마바, 51, 171
타하, 54, 184
차타, 53, 155
바카, 98, 188
마바, 88, 174
사카, 53, 192
바하, 78, 143
파나, 78, 176
라차, 97, 177
하파, 63, 196
하나, 71, 198
다차, 81, 197
다나, 43, 140
파하, 92, 160
카아, 84, 179
하자, 48, 190
바차, 53, 155
자하, 79, 191
차마, 54, 176
바카, 80, 159
마나, 94, 164
카타, 43, 141
자아, 96, 155
하파, 57, 183
자바, 51, 186
파다, 81, 167
자라, 66, 148
다다, 90, 179
파파, 61, 140
카자, 44, 145
카파, 84, 156
타카, 82, 186
파가, 80, 188
바가, 94, 155
차아, 69, 165
아차, 88, 153
마차, 86, 185
하하, 86, 165
차자, 96, 156
바바, 45, 186
차가, 68, 158
마아, 48, 165
사나, 94, 185
하마, 90, 187
가라, 95, 185
바자, 87, 184
자라, 83, 181
가하, 72, 179
차타, 74, 171
바아, 41, 175
하바, 48, 188
타하, 99, 161
나다, 81, 162
카파, 96, 162
자카, 80, 183
파아, 79, 178
자가, 57, 166
사가, 70, 181
사하, 63, 188
나하, 46, 186
마하, 64, 182
사다, 71, 154
나하, 76, 197
다바, 52, 145
카아, 47, 161
라마, 61, 180
사자, 99, 178
하차, 41, 157
다가, 67, 160
나바, 83, 162
파파, 41, 184
나하, 63, 188
나카, 53, 186
차자, 40, 143
가차, 65, 143
하마, 61, 152
다카, 46, 191
가다, 42, 143
차아, 53, 151
파아, 92, 177
다가, 46, 196
파차, 72, 160
다차, 47, 186
하나, 97, 185
하하, 63, 158
